text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"I liked a @YouTube video https://t.co/pRxi0mpLK6 This Week in Crypto #4 - Ripple, Blockchain 3.0, Cardano, 2018, Lightning Network",en,"Ball, La",,,,bishopjwhite,Sun Dec 31 23:42:48 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/t4GaJ7emQy Ripple - Why I'm Dumping All Of My Ripple Tokens - Ripple Vs Cardano,en,"Alaska, USA",,,,SomeAlaskaGuy,Sun Dec 31 23:36:46 +0000 2017,0,0,0,False,0,False,
cardano &amp; ripple are my 2018 predictions,en,"Milwaukee, WI",,,,renzyyy,Sun Dec 31 23:35:10 +0000 2017,0,3,0,False,0,False,
"How to buy ADA (Cardano) Coin, is it too late to invest!?: https://t.co/saMWb18YY4 via @YouTube",en,"Phoenix, AZ",,,,cmorales1907,Sun Dec 31 23:10:19 +0000 2017,0,0,0,False,0,False,
"Very informative article, sharing it again.

https://t.co/eEMDI08onJ

$ADA #Cardano $ETH $BTC $NEO #ethereum #ETH #Blockchain",en,"Chicago, IL",,,,MogulOfMarkets,Sun Dec 31 23:10:16 +0000 2017,0,0,2,False,0,False,
"Fact: 
Majority of the shit talking about @CardanoStiftung #Cardano #ADA $ADA @IOHK_Charles is coming from ""technocrats"" ""visionaries"" invested so heavily so early on in @ethereumproject

Inference:
Is this FUD?!
Is this a malicious sabotaging effort?!

@leashless ?! 👇👇 https://t.co/Q9UUK2pTwv",en,United States,,,,chelenki,Sun Dec 31 22:41:37 +0000 2017,0,1,0,False,0,False,
Is everyone ready for the New Year and the Cryptoworld?!!! I know I am !!! Let's do this 2018!!!!! #Vergecurrency #xvgwhale @justinvendetta @justinsuntron @XVGWhale @officialmcafee #HODL #tron #trx #Mooncoin #xp #xpcoin #Cardano #Bytecoin #dogecoin #neogold #Ripple 2018 https://t.co/9LC4ghVmYT,en,The Moon,,,,CRYPTOTHESE,Sun Dec 31 22:40:19 +0000 2017,0,0,6,False,0,False,
"What is the best undervalued crypro for 2018? 

#xrp #ripple #xvg #trx #tron #cardano #ada #iota #bitcoin #ethereum #Crypto #ada",en,Wall Street,,,,BitcoinTrack,Sun Dec 31 22:30:25 +0000 2017,1,3,1,False,0,False,
"I don't know much about much.. But the attacks on #Cardano #ADA $ADA @IOHK_Charles have been getting increasingly ridiculous.

Need some clarity please.. This is honestly frustrating for people who are trusting and investing in this tech https://t.co/z6kgMNIFCz",en,United States,,,,chelenki,Sun Dec 31 22:27:45 +0000 2017,0,0,0,False,0,True,
Nice piece comparing Cardano to Ethereum and NEO: https://t.co/QGTVYHQB0x #blockchain #eth #neo #ada #smartcontracts,en,"Vermont, Vermont",,,,danruss,Sun Dec 31 22:14:44 +0000 2017,0,0,1,False,0,False,
