,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
0,en,"Ball, La",,,,bishopjwhite,Sun Dec 31 23:42:48 +0000 2017,0,0,0,False,0,False,,"liked @ youtube video https : //t.co/prxi0mplk6 week crypto # 4 - ripple , blockchain 3.0 , cardano , 2018 , lightning network"
1,en,"Alaska, USA",,,,SomeAlaskaGuy,Sun Dec 31 23:36:46 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/t4gaj7emqy ripple - 'm dumping ripple tokens - ripple vs cardano
2,en,"Milwaukee, WI",,,,renzyyy,Sun Dec 31 23:35:10 +0000 2017,0,3,0,False,0,False,,cardano & amp ; ripple 2018 predictions
3,en,"Phoenix, AZ",,,,cmorales1907,Sun Dec 31 23:10:19 +0000 2017,0,0,0,False,0,False,,"buy ( cardano ) coin , late invest ! ? : https : //t.co/samwb18yy4 via @ youtube"
4,en,"Chicago, IL",,,,MogulOfMarkets,Sun Dec 31 23:10:16 +0000 2017,0,0,2,False,0,False,,"informative article , sharing . https : //t.co/eemdi08onj $ # cardano $ eth $ btc $ neo # ethereum # eth # blockchain"
5,en,United States,,,,chelenki,Sun Dec 31 22:41:37 +0000 2017,0,1,0,False,0,False,,fact : majority shit talking @ cardanostiftung # cardano # $ @ iohk_charles coming `` technocrats '' `` visionaries '' invested heavily early @ ethereumproject inference : fud ? ! malicious sabotaging effort ? ! @ leashless ? ! 👇👇 https : //t.co/q9uuk2ptwv
6,en,The Moon,,,,CRYPTOTHESE,Sun Dec 31 22:40:19 +0000 2017,0,0,6,False,0,False,,everyone ready new year cryptoworld ? ! ! ! know ! ! ! let 's 2018 ! ! ! ! ! # vergecurrency # xvgwhale @ justinvendetta @ justinsuntron @ xvgwhale @ officialmcafee # hodl # tron # trx # mooncoin # xp # xpcoin # cardano # bytecoin # dogecoin # neogold # ripple 2018 https : //t.co/9lc4ghvmyt
7,en,Wall Street,,,,BitcoinTrack,Sun Dec 31 22:30:25 +0000 2017,1,3,1,False,0,False,,best undervalued crypro 2018 ? # xrp # ripple # xvg # trx # tron # cardano # # iota # bitcoin # ethereum # crypto #
8,en,United States,,,,chelenki,Sun Dec 31 22:27:45 +0000 2017,0,0,0,False,0,True,,n't know much much.. attacks # cardano # $ @ iohk_charles getting increasingly ridiculous . need clarity please.. honestly frustrating people trusting investing tech https : //t.co/z6kgmnifcz
9,en,"Vermont, Vermont",,,,danruss,Sun Dec 31 22:14:44 +0000 2017,0,0,1,False,0,False,,nice piece comparing cardano ethereum neo : https : //t.co/qgtvyhqb0x # blockchain # eth # neo # # smartcontracts
