lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14
en,"Jackson, Wyoming",,,,TetonBlocks,Thu Dec 31 23:58:47 +0000 2020,0,0,0,False,0,False,
en,"New York, NY",,,,davidgokhshtein,Thu Dec 31 23:49:21 +0000 2020,6,15,47,False,0,False,
en,New York,,,,RealSaidov,Thu Dec 31 23:43:21 +0000 2020,0,1,0,False,0,False,
en,"New York, NY",,,,BTCstJournal,Thu Dec 31 23:35:17 +0000 2020,0,0,1,False,0,False,
en,United States,,,,fintechnewshub,Thu Dec 31 23:33:55 +0000 2020,0,0,1,False,0,False,
en,"Orange County, California",,,,LunarCRUSH,Thu Dec 31 23:21:07 +0000 2020,1,1,10,False,0,False,
en,USA,,,,webnowcompany,Thu Dec 31 23:14:27 +0000 2020,0,0,0,False,0,False,
en,Mcdermott Ohio,,,,HoymeBrandon,Thu Dec 31 23:08:20 +0000 2020,0,1,0,False,0,False,
en,"Albuquerque, NM, USA",,,,viperstakepool,Thu Dec 31 22:55:40 +0000 2020,1,1,0,False,0,False,
en,"New York, NY",,,,MerciBueno,Thu Dec 31 22:31:09 +0000 2020,0,1,0,False,0,False,
en,USA,,,,altcoinbonanza,Thu Dec 31 22:29:25 +0000 2020,0,0,0,False,0,False,
en,"Atlanta, GA",,,,desota,Thu Dec 31 22:02:19 +0000 2020,0,0,0,False,0,False,
en,United States,,,,THEAnnette,Thu Dec 31 21:14:33 +0000 2020,0,1,2,False,0,True,
en,NYC,,,,mikeblewitt,Thu Dec 31 20:39:22 +0000 2020,1,0,1,False,0,True,
en,"New York, USA",,,,bitcointe,Thu Dec 31 20:23:57 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Thu Dec 31 19:57:29 +0000 2020,0,0,0,False,0,False,
en,#Mars,,,,MarijuanaName,Thu Dec 31 19:56:46 +0000 2020,0,0,0,False,0,False,
en,"Bloomington, IN",,,,IndianaWBB,Thu Dec 31 19:43:44 +0000 2020,0,0,2,False,0,False,
en,USA,,,,tron_age,Thu Dec 31 19:40:54 +0000 2020,0,0,0,False,0,False,
en,"Bloomington, IN",,,,IndianaWBB,Thu Dec 31 19:22:56 +0000 2020,0,0,4,False,0,False,
en,"Wichita, KS",,,,DalBasor,Thu Dec 31 18:51:07 +0000 2020,0,0,1,False,0,True,
en,"Bloomington, IN",,,,IndianaWBB,Thu Dec 31 18:49:04 +0000 2020,0,0,8,False,0,False,
en,USA,,,,FanceePool,Thu Dec 31 18:47:47 +0000 2020,0,0,1,False,0,False,
en,Been around the world,,,,CryptoLos151,Thu Dec 31 18:42:36 +0000 2020,0,0,0,False,0,False,
en,"Albuquerque, NM, USA",,,,viperstakepool,Thu Dec 31 18:29:04 +0000 2020,4,6,4,False,0,False,
en,Oregon ,,,,H0P_3R,Thu Dec 31 18:21:43 +0000 2020,0,1,0,False,0,False,
en,"California, USA",,,,pepeortizx,Thu Dec 31 18:16:25 +0000 2020,0,0,0,False,0,False,
en,"Pennsylvania, USA",,,,ImTheDebate,Thu Dec 31 18:07:47 +0000 2020,0,7,0,False,0,True,
en,"Orlando, FL",,,,DJWarrenYoung,Thu Dec 31 17:31:23 +0000 2020,0,0,0,False,0,False,
en,United States,,,,THEAnnette,Thu Dec 31 17:19:52 +0000 2020,0,8,1,False,0,False,
en,"Albuquerque, NM, USA",,,,viperstakepool,Thu Dec 31 17:04:04 +0000 2020,0,0,0,False,0,False,
en,"Sioux Falls, SD",,,,LegacyofDave,Thu Dec 31 16:52:07 +0000 2020,0,0,0,False,0,False,
en,badlands,,,,DCdoso,Thu Dec 31 16:44:11 +0000 2020,0,1,1,False,0,True,
en,United States,,,,Everest_ADA,Thu Dec 31 16:28:19 +0000 2020,0,0,2,False,0,False,
